word,tries,hint
cat,7,a common household pet
map,7,used for navigation
drum,7,a percussion instrument
flame,6,produced by fire
grape,6,grows in clusters on a vine
account,5,used to store money in a bank
almost,5,not quite but very close
opinion,5,a personal point of view
distance,5,the space between two points
luggage,5,bags carried while travelling
secrets,4,things kept hidden from others
mystery,4,something unexplained or unknown
broccoli,4,a green vegetable often disliked by kids
spaghetti,4,a type of Italian pasta
beautiful,4,pleasing to the senses
rhythm,3,a pattern of beats in music
sphinx,3,a mythical creature with a human head
quartz,3,a hard crystalline mineral
fjord,3,a narrow inlet carved by a glacier
nymph,3,a nature spirit from mythology
ant,7,a tiny insect that lives in colonies
bag,7,used to carry things
cup,7,you drink from this
dog,7,a loyal domestic animal
bench,6,a long seat for multiple people
brave,6,showing courage in the face of danger
cabin,6,a small wooden house in the woods
dairy,6,related to milk and its products
eagle,6,a large bird of prey with keen eyesight
fable,6,a short story with a moral lesson
giant,6,an unusually large person or creature
herbs,6,plants used in cooking or medicine
index,6,an alphabetical list at the back of a book
jewel,6,a precious gemstone
kneel,6,to rest on your knees
lemon,6,a sour yellow citrus fruit
melon,6,a large sweet juicy fruit
nurse,6,a healthcare professional
orbit,6,the curved path of a planet around a star
piano,6,a large musical keyboard instrument
queen,6,a female ruler of a kingdom
raven,6,a large black bird associated with mystery
sheep,6,a woolly animal farmed for its fleece
tiger,6,a large striped wild cat
uncle,6,the brother of your parent
valve,6,controls the flow of liquid or gas
wheat,6,a grain used to make flour and bread
xerox,6,a brand name used to mean photocopying
yacht,6,a recreational sailing boat
zebra,6,an African animal with black and white stripes
absorb,5,to take in or soak up
ballot,5,a method of secret voting
canopy,5,a covering that hangs overhead
debris,5,scattered fragments of wreckage
eleven,5,the number after ten
famine,5,a severe shortage of food
gossip,5,informal talk about other people
hamlet,5,a small settlement smaller than a village
ignite,5,to set something on fire
jungle,5,a dense tropical forest
kettle,5,used to boil water
locket,5,a small ornamental case worn on a chain
mellow,5,soft and smooth in tone or flavor
nickel,5,a silver-colored metallic element
oyster,5,a shellfish that can produce pearls
pastry,5,a dough used in baking pies and tarts
quiver,5,to shake slightly or a case for arrows
rustle,5,a soft crackling sound like leaves
saddle,5,a seat for a horse rider
temple,5,a place of worship
umbrella,4,carried in the rain for protection
arrange,4,to put things in a particular order
buffalo,4,a large heavy bovine animal
capsule,4,a small container or a space vehicle
dolphin,4,an intelligent marine mammal
eclipse,4,when one celestial body blocks another
fantasy,4,imaginative fiction involving magic
glucose,4,a simple sugar used for energy
harmony,4,a pleasing combination of musical notes
improve,4,to make something better
lantern,4,a portable light in a case
mustard,4,a yellow condiment made from seeds
nuclear,4,relating to the nucleus of an atom
penguin,4,a flightless bird native to Antarctica
quantum,4,the smallest discrete unit of energy
rooster,4,a male chicken
suspend,4,to hang from above or to pause temporarily
tycoon,4,a wealthy and powerful businessperson
walrus,4,a large marine mammal with tusks
xylophone,3,a musical instrument played with mallets
labyrinth,3,a complicated network of paths or tunnels
physician,3,a medical doctor
nostalgia,3,a sentimental longing for the past
microwave,3,an appliance that heats food with radiation
kaleidoscope,3,a tube with mirrors creating colorful patterns
juxtapose,3,to place two things side by side for contrast
hypnosis,3,a trance-like state of focused attention
guerrilla,3,an irregular fighter using surprise tactics
flourish,3,to grow or develop in a healthy way
aberration,3,Something that deviates from normal
quintessential,3,Perfect example of something
obfuscate,3,To deliberately make unclear
perspicacious,3,Having sharp insight
lugubrious,3,Sad and gloomy
ephemeral,3,Lasting a very short time
vociferous,3,Loud and forceful
recalcitrant,3,Stubbornly disobedient
intransigent,3,Refusing to change views
obstreperous,3,Noisy and difficult to control
pellucid,3,Clear and easy to understand
capricious,3,Impulsive and unpredictable
deleterious,3,Harmful or damaging
enervate,3,To weaken or drain energy
insidious,3,Proceeding in a subtle harmful way
magnanimous,3,Very generous or forgiving
nefarious,3,Wicked or criminal
obsequious,3,Overly submissive
parsimonious,3,Extremely frugal or stingy
prosaic,3,Commonplace and dull
recondite,3,Difficult to understand
sagacious,3,Wise and insightful
tantamount,3,Equivalent in seriousness
ubiquitous,3,Present everywhere
vicissitude,3,Change in circumstances
antediluvian,3,Extremely old-fashioned
circumlocution,3,Using too many words
diaphanous,3,Light and translucent
ebullient,3,Cheerful and energetic
fastidious,3,Very attentive to detail
garrulous,3,Excessively talkative
heterogeneous,3,Diverse in character
iconoclast,3,One who challenges beliefs
juxtaposition,3,Placing things side by side
kaleidoscopic,3,Constantly changing pattern
laconic,3,Using few words
mendacious,3,Not telling the truth
nonchalant,3,Calm and unconcerned
ostentatious,3,Showy and flashy
perfunctory,3,Done with little care
quixotic,3,Unrealistically idealistic
rescind,3,To cancel or revoke
soporific,3,Tending to cause sleep
trepidation,3,Fear or anxiety
unctuous,3,Excessively flattering
verisimilitude,3,Appearance of being real
winsome,3,Charming in a simple way
xenophobia,3,Fear of foreigners
yokel,3,Unsophisticated rural person
zealous,3,Full of passion and enthusiasm
syzygy,3,alignment of three celestial bodies
